thoothukudi_kovilpatti|Kovilpatti Government Hospital
virudhunagar_virudhunagar|Government Hospital Virudhunagar
tiruvallur_ambattur|Ambattur Government Hospital
trichy_cantonment|Cantonment Government Hospital
villupuram_thirukoilur|Thirukoilur Government Hospital
ariyalur_thaluthalai|Government Hospital Thaluthalai
vellore_arcot|Arcot Government Hospital
trichy_uthamar gandhi|Uthamar Gandhi Government Hospital
nilgiris_adanakatti|Adanakatti Government Hospital
coimbatore_valparai|Valparai Government Hospital
nagapattinam_nagapattinam|Government Hospital Nagapattinam
tenkasi_thalmai|Thalmai Government Hospital
cuddalore_cuddalore|Government Hospital Cuddalore
kallakurichi_kalvarayan hills|Kalvarayan Hills Government Hospital
coimbatore_pollachi|Pollachi Government Hospital
virudhunagar_narikkudi|Narikkudi Government Hospital
kallakurichi_therani|Therani Government Hospital
mayiladuthurai_korukkai|Korukkai Government Hospital
pudukkottai_pudukkottai|Government Medical College Hospital Pudukkottai
tenkasi_tenkasi|Government Hospital Tenkasi
